teamid,teamname,cityid
1,Baltimore Orioles,1
2,Boston Red Sox,2
3,New York Yankees,3
4,Tampa Bay Rays,4
5,Toronto Blue Jays,5
6,Chicago White Sox,6
7,Cleveland Indians,7
8,Detroit Tigers,8
9,Kansas City Royals,9
10,Minnesota Twins,10
11,Houston Astros,11
12,Los Angeles Angels,12
13,Oakland Athletics,13
14,Seattle Mariners,14
15,Texas Rangers,15
16,Atlanta Braves,16
17,Miami Marlins,17
18,New York Mets,18
19,Philadelphia Phillies,19
20,Washington Nationals,20
21,Chicago Cubs,21
22,Cincinnati Reds,22
23,Milwaukee Brewers,23
24,Pittsburgh Pirates,24
25,St. Louis Cardinals,25
26,Arizona Diamondbacks,26
27,Colorado Rockies,27
28,Los Angeles Dodgers,28
29,San Diego Padres,29
30,San Francisco Giants,30
